Ètvr»	N
pro	R
diplomaty	N

Výstavbu	N
diplomatické	A
ètvrti	N
v	R
hlavním	A
mìstì	N
se	R
zhruba	D
400	C
rodinnými	A
domy	N
pro	R
ubytování	N
pracovníkù	N
zastupitelských	A
úøadù	N
,	Z
a	J
zejména	D
zamìstnancù	N
rádia	N
Svobodná	A
Evropa	N
pøipravuje	V
pra¾ská	A
radnice	N
.	Z

Podle	R
slov	N
pra¾ského	A
primátora	N
Jana	N
Koukala	N
by	V
tato	P
ètvr»	N
mìla	V
vzniknout	V
bìhem	R
roku	N
a	J
pùl	C
.	Z

Radnice	N
hledá	V
vhodné	A
místo	N
s	R
ohledem	N
na	R
bezpeènost	N
.	Z

Podle	R
pøedbì¾ných	A
ujednání	N
by	V
hlavní	A
mìsto	N
poskytlo	V
na	R
vybudování	N
ètvrti	N
svùj	P
pozemek	N
a	J
èeská	A
vláda	N
by	V
zajistila	V
pùjèku	N
na	R
financování	N
stavebních	A
prací	N
.	Z

Americká	A
strana	N
má	V
po	R
dokonèení	N
projektu	N
splatit	V
výstavbu	N
týkající	A
se	P
Svobodné	A
Evropy	N
.	Z

Mladí	A
lidé	N
nechodí	V
do	R
divadel	N
èasto	D

Praha	N
-	Z

Náv¹tìvy	N
kin	N
a	J
divadel	N
patøí	V
mezi	R
ménì	D
èasté	A
aktivity	N
mladých	A
lidí	N
v	R
Èeské	A
republice	N
.	Z

Vyplynulo	V
to	P
z	R
únorového	A
a	J
kvìtnového	A
výzkumu	N
Institutu	N
dìtí	N
a	J
mláde¾e	N
ministerstva	N
¹kolství	N
,	Z
mláde¾e	N
a	J
tìlovýchovy	N
,	Z
který	P
pracoval	V
s	R
758	C
respondenty	N
ve	R
vìku	N
15	C
a¾	J
29	C
let	N
.	Z

Do	R
divadla	N
vùbec	D
nechodí	V
46	C
procent	N
mladých	A
lidí	N
,	Z
do	R
kina	N
12	C
procent	N
.	Z

Oproti	R
tomu	P
alespoò	D
jednou	C
týdnì	D
nav¹tíví	V
divadlo	N
1	C
procento	N
populace	N
v	R
tomto	P
vìku	N
,	Z
do	R
kina	N
se	P
takto	D
èasto	D
vypraví	V
17	C
mladých	A
ze	R
sta	N
.	Z

tipy	N
Dnes	D

Ruby	N
-	Z

Americké	A
filmové	A
drama	N
re¾iséra	N
Johna	N
Mackenzieho	N
,	Z
po	R
Stoneovì	A
paradokumentární	A
rekonstrukci	N
jménem	N
JFK	N
dal¹í	A
fikci	N
o	R
mo¾ném	A
pozadí	N
atentátu	N
na	R
J	N
.	Z
F	N
.	Z
Kennedyho	N
,	Z
uvádí	V
od	R
vèerej¹ka	N
pra¾ské	A
kino	N
Kotva	N
.	Z

Klaus	N
Maria	N
Brandauer	N
-	Z

Populární	A
rakouský	A
herec	N
,	Z
u	R
nás	P
známý	A
zejména	D
z	R
filmù	N
Mefisto	N
,	Z
Plukovník	N
Redl	N
a	J
Vzpomínky	N
na	R
Afriku	N
,	Z
vystoupí	V
v	R
nedìli	N
od	R
11.00	C
hod	N
v	R
pra¾ském	A
Studiu	N
Labyrint	N
se	R
ètením	N
z	R
díla	N
Friedricha	N
Torberga	N
.	Z

Deset	C
minut	N
s	R
.	Z
.	Z
.	Z
-	Z

Èína	N
pøesedlává	V
z	R
kol	N
na	R
auta	N

Peking	N
-	Z

Èína	N
sází	V
na	R
výrobu	N
automobilù	N
:	Z
v	R
této	P
klasické	A
zemi	N
jízdních	A
kol	N
byla	V
podle	R
posledního	A
vydání	N
listu	N
Business	N
Weekly	D
vedoucí	A
domácí	A
automobilce	N
poskytnuta	V
vládní	A
dotace	N
250	C
milionù	N
USD	N
,	Z
zatímco	J
výrobci	N
jízdních	A
kol	N
hlásí	V
za	R
první	C
pololetí	N
podstatný	A
pokles	N
odbytu	N
,	Z
uvedla	V
agentura	N
DPA	N
.	Z

Zmínìná	A
ètvrtmiliardová	A
dotace	N
byla	V
poskytnuta	V
automobilce	N
Tianjin	A
Automotive	A
Industry	N
Corp	N
.	Z
na	R
zvý¹ení	N
výroby	N
ze	R
souèasných	A
60	C
tisíc	C
na	R
150	C
tisíc	C
vozù	N
roènì	D
.	Z

Spoleènost	N
vyrábí	V
model	N
Charade	N
japonské	A
automobilky	N
Daihatsu	N
,	Z
který	P
je	V
v	R
Èínì	N
pou¾íván	V
mimo	R
jiné	A
jako	J
taxi	N
.	Z

Uzavøená	A
kapitola	N

Od	R
1	C
.	Z
bøezna	N
tohoto	P
roku	N
na	R
pra¾skou	A
burzu	N
pøibude	V
677	C
emisí	N
akcií	N
z	R
druhé	A
vlny	N
kupónové	A
privatizace	N
.	Z

Spolu	D
s	R
nimi	P
potom	D
184	C
emisí	N
,	Z
se	R
kterými	P
u¾	D
burza	N
obchodovala	V
,	Z
ale	J
jejich¾	P
èást	N
a¾	T
dosud	D
z	R
nejrùznìj¹ích	A
dùvodù	N
byla	V
ve	R
vlastnictví	N
Fondu	N
národního	A
majetku	N
.	Z

Celkový	A
poèet	N
obchodovaných	A
titulù	N
tak	D
na	R
burze	N
dosáhne	V
úctyhodného	A
èísla	N
1738	C
.	Z

Investorská	A
veøejnost	N
nyní	D
netrpìlivì	D
oèekává	V
,	Z
jaké	P
výchozí	A
ceny	N
burza	N
stanoví	V
.	Z

Hádankou	N
samozøejmì	D
nejsou	V
kursy	N
akcií	N
známých	A
z	R
první	C
vlny	N
,	Z
se	R
kterými	P
se	P
u¾	D
na	R
burze	N
obchoduje	V
.	Z

Dva	C
rekordy	N
najednou	D

Perkins	N
plaval	V
1500	C
m	N
prùmìrem	N
58.77	C
na	R
100	C
m	N

Victoria	N
-	Z

Dva	C
svìtové	A
rekordy	N
v	R
jediném	A
závodu	N
pøi	R
Hrách	N
Britského	A
spoleèenství	N
národù	N
vytvoøil	V
Australan	N
Kieren	N
Perkins	N
.	Z

